url,text
https://git-scm.com/docs/git-merge,git-merge[1]
https://git-scm.com/docs/git-config,git-config[1]
https://git-scm.com/docs/git-var,git-var[1]
https://git-scm.com/docs/git-config,git-config[1]
https://git-scm.com/docs/git-rebase,git-rebase[1]
https://git-scm.com/docs/git-config,git-config[1]
https://git-scm.com/docs/git-config,git-config[1]
https://git-scm.com/docs/git-config,git-config[1]
https://git-scm.com/docs/api-trace2,Trace2 documentation
https://git-scm.com/docs/api-trace2,Trace2 documentation
https://git-scm.com/docs/api-trace2,Trace2 documentation
https://git-scm.com/docs/git-prune,git-prune[1]
https://git-scm.com/docs/git-config,git-config[1]
https://git-scm.com/docs/git-config,git-config[1]
https://git-scm.com/docs/git-http-backend,git-http-backend[1]
https://git-scm.com/docs/git-checkout,git-checkout[1]
https://git-scm.com/docs/git-diff,git-diff[1]
